index,feel,look,name,smell,taste
43,"{'feel': 5, 'medium': 4, 'carbonation': 3}","{'hazy': 7, 'yellow': 4, 'white': 4}","Omnipollo / Cervejaria Tupiniquim - Polimango","{'mango': 6, 'fruit': 5, 'corn': 4}","{'fruit': 5, 'like': 4, 'mango': 4}"
44,"{'medium': 8, 'light': 7, 'carbonation': 6}","{'white': 6, 'yellow': 5, 'hazy': 4}","Onda Mosaic Pale Ale","{'hop': 8, 'tropical': 7, 'fruit': 5}","{'lemon': 9, 'grapefruit': 6, 'pine': 4}"
45,"{'light': 6, 'medium': 4, 'moderate': 3}","{'yellow': 8, 'hazy': 6, 'white': 6}",Aurora,"{'hop': 11, 'citrus': 8, 'grapefruit': 6}","{'light': 6, 'fruit': 6, 'grapefruit': 4}"
46,"{'carbonation': 7, 'body': 6, 'medium': 5}","{'black': 7, 'brown': 5, 'dark': 3}","Omnipollo / Buxton - Original Rocky Road Ice Cream","{'chocolate': 10, 'vanilla': 6, 'nose': 4}","{'chocolate': 8, 'cream': 6, 'vanilla': 5}"
47,"{'medium': 16, 'carbonation': 13, 'feel': 10}","{'white': 14, 'hazy': 11, 'pours': 7}",Maz,"{'citrus': 17, 'hop': 16, 'nose': 14}","{'citrus': 12, 'hop': 10, 'grapefruit': 9}"
48,"{'medium': 4, 'citrus': 4, 'carbonation': 3}","{'yellow': 4, 'white': 4, 'hazy': 4}","West Coast IPA","{'citrus': 5, 'tropical': 4, 'fruit': 4}","{'grapefruit': 4, 'tropical': 2, 'note': 2}"
49,"{'medium': 4, 'carbonation': 4, 'smooth': 3}","{'pink': 4, 'cloudy': 2, 'pinkish': 2}","Magic #4:21 Raspberry Smoothie IPA","{'raspberry': 8, 'hop': 4, 'light': 4}","{'raspberry': 7, 'tart': 5, 'light': 3}"
50,"{'chocolate': 6, 'feel': 5, 'dark': 5}","{'dark': 7, 'tan': 6, 'brown': 5}",Idjit!,"{'malt': 15, 'chocolate': 15, 'dark': 13}","{'malt': 7, 'chocolate': 6, 'roasted': 5}"
51,"{'feel': 8, 'medium': 7, 'full': 7}","{'black': 5, 'brown': 3, 'body': 3}",Symzonia,"{'coffee': 19, 'cinnamon': 19, 'vanilla': 18}","{'cinnamon': 9, 'coffee': 8, 'chocolate': 7}"
52,"{'medium': 3, 'carbonation': 3, 'light': 2}","{'black': 6, 'lacing': 2, 'good': 2}","Hypnopompa - Rum Barrel-Aged","{'rum': 4, 'vanilla': 4, 'chocolate': 4}","{'rum': 5, 'vanilla': 4, 'sweet': 4}"
53,"{'carbonation': 3, 'full': 2, 'bodied': 2}","{'black': 5, 'pitch': 3, 'body': 2}","Gimbagagompa Coffee Vanilla Granola","{'vanilla': 4, 'chocolate': 4, 'hazelnut': 2}","{'coffee': 4, 'chocolate': 3, 'granola': 3}"
54,"{'feel': 7, 'carbonation': 5, 'smooth': 4}","{'black': 8, 'dark': 5, 'tan': 4}","Coffee Vanilla Black","{'coffee': 15, 'vanilla': 9, 'dark': 8}","{'vanilla': 10, 'coffee': 8, 'dark': 7}"
55,"{'feel': 10, 'carbonation': 7, 'medium': 6}","{'black': 11, 'little': 7, 'brown': 6}",Hypnopompa,"{'vanilla': 22, 'chocolate': 13, 'nose': 11}","{'vanilla': 11, 'chocolate': 9, 'coffee': 7}"
56,"{'feel': 6, 'dry': 3, 'real': 2}","{'look': 4, 'straw': 4, 'yellow': 3}","Dugges / Stillwater - Mango Mango Mango","{'mango': 19, 'nose': 8, 'fruit': 4}","{'mango': 13, 'sour': 6, 'tart': 6}"
57,"{'feel': 9, 'body': 6, 'carbonation': 6}","{'pours': 7, 'pink': 7, 'white': 7}",Nautilus,"{'blueberry': 23, 'vanilla': 18, 'nose': 12}","{'blueberry': 11, 'vanilla': 8, 'flavor': 7}"
58,"{'medium': 14, 'feel': 9, 'carbonation': 9}","{'hazy': 9, 'yellow': 7, 'white': 6}",Lustro,"{'fruit': 17, 'tropical': 14, 'citrus': 14}","{'sweet': 6, 'fruit': 6, 'lemon': 6}"
59,"{'carbonation': 6, 'medium': 5, 'body': 4}","{'orange': 9, 'hazy': 7, 'white': 7}","Amazing Haze","{'orange': 10, 'tropical': 9, 'grapefruit': 7}","{'mango': 5, 'juicy': 4, 'tropical': 4}"
60,"{'light': 14, 'carbonation': 13, 'medium': 10}","{'hazy': 12, 'white': 12, 'straw': 11}","Bianca Mango Lassi Gose","{'mango': 28, 'nose': 12, 'salt': 10}","{'mango': 19, 'sour': 13, 'fruit': 11}"
61,"{'smooth': 2, 'carbonation': 2, 'quite': 2}","{'orange': 3, 'light': 2, 'fast': 2}",Moebius,"{'nose': 6, 'pineapple': 3, 'mango': 3}","{'like': 4, 'fruit': 4, 'bit': 3}"
62,"{'full': 3, 'feel': 3, 'f': 2}","{'black': 4, 'l': 3, 'lacing': 3}",Lorelei,"{'maple': 7, 'syrup': 7, 'coconut': 7}","{'chocolate': 5, 'maple': 4, 'coconut': 4}"
63,"{'mango': 4, 'bodied': 2, 'medium': 2}","{'white': 5, 'hazy': 3, 'yellow': 2}","Brewski Mangofeber DIPA","{'mango': 5, 'citrus': 5, 'fruit': 4}","{'mango': 6, 'orange': 6, 'light': 3}"
64,"{'feel': 7, 'smooth': 6, 'medium': 4}","{'hazy': 6, 'pours': 4, 'yellow': 4}","Fatamorgana - Quadruple Dry-Hopped","{'nose': 9, 'pineapple': 8, 'tropical': 8}","{'fruit': 4, 'floral': 4, 'rind': 3}"
65,"{'feel': 4, 'medium': 3, 'full': 3}","{'black': 5, 'pours': 4, 'thin': 4}","Dugges / Stillwater - Speyside Cacao","{'chocolate': 12, 'vanilla': 8, 'nose': 7}","{'nose': 4, 'dark': 3, 'chocolate': 3}"
66,"{'feel': 15, 'smooth': 12, 'carbonation': 12}","{'black': 14, 'brown': 10, 'dark': 9}","Selassie - Coffee And Vanilla Beans","{'coffee': 38, 'vanilla': 29, 'chocolate': 19}","{'coffee': 23, 'vanilla': 19, 'chocolate': 13}"
67,"{'full': 6, 'carbonation': 6, 'body': 5}","{'brown': 6, 'black': 5, 'l': 3}","Omnipollo / Buxton - Original Texas Pecan Ice Cream","{'chocolate': 8, 'pecan': 7, 'vanilla': 6}","{'chocolate': 4, 'nut': 3, 'vanilla': 3}"
68,"{'medium': 7, 'feel': 6, 'carbonation': 6}","{'raspberry': 12, 'pink': 11, 'l': 10}",Pleroma,"{'raspberry': 22, 'vanilla': 11, 'nose': 9}","{'raspberry': 15, 'tart': 8, 'sour': 7}"
69,"{'medium': 3, 'creamy': 3, 'well': 2}","{'white': 3, 'quickly': 3, 'thin': 3}",Hilma,"{'vanilla': 9, 'fry': 4, 'bit': 4}","{'vanilla': 5, 'sweet': 4, 'citrus': 3}"
70,"{'carbonation': 10, 'medium': 9, 'light': 6}","{'golden': 8, 'hazy': 8, 'look': 8}",Zodiak,"{'fruit': 21, 'nose': 17, 'grapefruit': 17}","{'grapefruit': 12, 'fruit': 9, 'citrus': 8}"
71,"{'carbonation': 67, 'creamy': 55, 'smooth': 53}","{'black': 78, 'dark': 73, 'brown': 55}","Carnegie Porter 5,5%","{'chocolate': 108, 'malt': 105, 'dark': 95}","{'chocolate': 70, 'malt': 65, 'coffee': 65}"
72,"{'feel': 25, 'medium': 16, 'carbonation': 16}","{'look': 36, 'yellow': 25, 'hazy': 25}",Fatamorgana,"{'citrus': 41, 'hop': 31, 'nose': 30}","{'hop': 23, 'grapefruit': 16, 'citrus': 16}"
73,"{'feel': 12, 'light': 10, 'fruit': 10}","{'hazy': 13, 'yellow': 12, 'pours': 9}","Stillwater / Dugges - Tropic Punch Ale","{'fruit': 43, 'peach': 34, 'nose': 23}","{'fruit': 16, 'sour': 14, 'peach': 9}"
74,"{'feel': 37, 'full': 28, 'carbonation': 26}","{'black': 45, 'dark': 24, 'brown': 22}","Aon Pecan Mud Cake","{'chocolate': 94, 'pecan': 61, 'nose': 48}","{'chocolate': 55, 'pecan': 36, 'vanilla': 33}"
75,"{'smooth': 29, 'feel': 27, 'carbonation': 20}","{'black': 20, 'brown': 17, 'look': 16}","Kaggen! Stormaktsporter","{'chocolate': 49, 'nose': 35, 'vanilla': 34}","{'chocolate': 20, 'tasting': 19, 'vanilla': 15}"
76,"{'medium': 34, 'feel': 31, 'carbonation': 29}","{'orange': 33, 'white': 32, 'hazy': 25}",Nebuchadnezzar,"{'citrus': 50, 'nose': 38, 'hop': 37}","{'hop': 33, 'citrus': 29, 'malt': 25}"
77,"{'medium': 8, 'carbonation': 6, 'creamy': 6}","{'orange': 5, 'hazy': 4, 'white': 4}","Omnipollo / Trillium - Covered in Puppies","{'tropical': 10, 'nose': 10, 'fruit': 9}","{'citrus': 6, 'bitterness': 5, 'pineapple': 5}"
78,"{'medium': 7, 'carbonation': 7, 'every': 4}","{'yellow': 6, 'golden': 5, 'pours': 5}","Boss Beer","{'malt': 11, 'sweet': 7, 'grain': 5}","{'sweet': 12, 'flavor': 8, 'malt': 8}"
79,"{'light': 54, 'carbonation': 38, 'feel': 28}","{'white': 45, 'clear': 43, 'golden': 42}","Tyskie Gronie","{'malt': 55, 'hop': 53, 'sweet': 45}","{'hop': 43, 'malt': 41, 'sweet': 35}"
80,"{'carbonation': 16, 'feel': 16, 'medium': 13}","{'golden': 23, 'white': 19, 'clear': 15}","Okocim Mocne","{'sweet': 26, 'malt': 24, 'nose': 19}","{'sweet': 30, 'malt': 24, 'alcohol': 20}"
81,"{'light': 11, 'carbonation': 8, 'lager': 5}","{'golden': 12, 'clear': 9, 'white': 9}",Harnas,"{'malt': 9, 'like': 9, 'hop': 8}","{'like': 10, 'malt': 9, 'hop': 9}"
82,"{'carbonation': 16, 'light': 12, 'bit': 11}","{'golden': 22, 'clear': 18, 'white': 13}","Okocim Beer","{'malt': 22, 'hop': 18, 'nose': 13}","{'hop': 19, 'light': 14, 'malt': 14}"
83,"{'light': 13, 'carbonation': 13, 'feel': 10}","{'clear': 16, 'golden': 14, 'white': 12}",Tatra,"{'sweet': 23, 'malt': 19, 'hop': 17}","{'hop': 18, 'malt': 15, 'sweet': 15}"
84,"{'crisp': 10, 'feel': 10, 'carbonation': 10}","{'white': 14, 'golden': 12, 'clear': 11}",Warka,"{'malt': 28, 'nose': 16, 'sweet': 15}","{'sweet': 21, 'like': 17, 'malt': 15}"
85,"{'carbonation': 7, 'light': 6, 'medium': 5}","{'golden': 4, 'white': 4, 'pours': 3}","EB Premium","{'light': 8, 'malt': 8, 'nose': 5}","{'malt': 5, 'light': 4, 'finish': 4}"
86,"{'light': 4, 'bodied': 4, 'medium': 4}","{'amber': 6, 'golden': 3, 'white': 3}","Karpackie Super","{'alcohol': 9, 'sweet': 7, 'grain': 6}","{'alcohol': 9, 'malt': 6, 'sweet': 6}"
87,"{'mild': 5, 'smell': 4, 'medium': 3}","{'golden': 3, 'white': 3, 'poured': 2}","Tatra Mocne","{'sweet': 8, 'malt': 7, 'alcohol': 5}","{'sweet': 8, 'malt': 5, 'like': 3}"
88,"{'feel': 9, 'carbonation': 8, 'finish': 6}","{'white': 8, 'golden': 7, 'straw': 6}","Lomza Pelne (Premium Beer)","{'sweet': 16, 'malt': 15, 'nose': 15}","{'malt': 15, 'sweet': 10, 'hop': 8}"
89,"{'feel': 9, 'medium': 9, 'malt': 8}","{'golden': 8, 'white': 8, 'light': 6}","Lomza Mocne","{'sweet': 17, 'malt': 11, 'nose': 9}","{'malt': 12, 'light': 8, 'sweet': 8}"
90,"{'lager': 7, 'feel': 7, 'carbonation': 7}","{'clear': 8, 'golden': 8, 'pours': 5}","Lomza Export","{'malt': 12, 'hop': 9, 'light': 9}","{'hop': 7, 'sweet': 6, 'flavor': 6}"
91,"{'carbonation': 6, 'feel': 5, 'body': 4}","{'golden': 6, 'look': 4, 'clear': 4}","Brok Export","{'malt': 10, 'sweetness': 6, 'faint': 4}","{'malt': 5, 'bitterness': 5, 'mild': 4}"
92,"{'carbonation': 6, 'light': 5, 'feel': 5}","{'white': 7, 'golden': 6, 'yellow': 6}","Karpackie Premium","{'malt': 9, 'nose': 7, 'light': 6}","{'sweet': 6, 'malt': 6, 'light': 5}"
93,"{'feel': 10, 'medium': 9, 'light': 9}","{'golden': 9, 'pours': 7, 'clear': 7}","Łomża Wyborowe","{'malt': 16, 'hop': 10, 'sweet': 9}","{'hop': 15, 'malt': 9, 'light': 5}"
94,"{'feel': 5, 'malt': 3, 'taste': 3}","{'pale': 3, 'yellow': 3, 'straw': 3}","Lech Premium","{'malt': 12, 'sweet': 4, 'bready': 3}","{'sweet': 5, 'malt': 4, 'grain': 2}"
95,"{'medium': 6, 'feel': 5, 'carbonation': 5}","{'golden': 7, 'white': 6, 'pours': 4}",Zamkowe,"{'malt': 11, 'sweet': 10, 'light': 10}","{'sweet': 4, 'malt': 4, 'lager': 4}"
96,"{'medium': 22, 'carbonation': 22, 'feel': 19}","{'amber': 23, 'clear': 20, 'pours': 16}","Warka Premium (Strong)","{'malt': 55, 'sweet': 37, 'nose': 28}","{'malt': 37, 'sweet': 35, 'like': 25}"
97,"{'sweet': 3, 'carbonation': 2, 'feel': 2}","{'golden': 3, 'white': 2, 'thin': 2}","Brok Sambor Export","{'malt': 11, 'hop': 7, 'sweet': 6}","{'hop': 2, 'like': 2, 'better': 2}"
98,"{'sweet': 2, 'feel': 2, 'never': 1}","{'clear': 4, 'golden': 4, 'white': 3}","Kasztelan Unpasteurized (Niepasteryzowane)","{'malt': 3, 'offer': 2, 'nothing': 2}","{'sweet': 5, 'kasztelan': 2, 'natural': 2}"
99,"{'good': 4, 'carbonation': 4, 'feel': 3}","{'light': 5, 'clear': 4, 'gold': 4}","Debowe Mocne","{'sweet': 4, 'light': 4, 'metallic': 4}","{'malt': 11, 'hop': 8, 'sweet': 7}"
100,"{'carbonation': 6, 'refreshing': 4, 'taste': 3}","{'golden': 5, 'white': 5, 'quickly': 5}","E B Natural Premium Quality Beer","{'malt': 13, 'sweet': 7, 'herbal': 7}","{'sweet': 7, 'hop': 6, 'malt': 5}"
101,"{'feel': 4, 'carbonation': 4, 'slight': 2}","{'golden': 4, 'white': 4, 'clear': 4}",Zubr,"{'malt': 7, 'sweet': 7, 'nose': 7}","{'sweet': 6, 'malt': 4, 'malty': 3}"
102,"{'feel': 5, 'bodied': 3, 'good': 3}","{'pours': 3, 'inch': 3, 'white': 3}",Kopernik,"{'malt': 7, 'sweet': 7, 'hop': 5}","{'hop': 4, 'lager': 4, 'light': 3}"
103,"{'feel': 3, 'sweet': 3, 'nose': 2}","{'straw': 2, 'white': 2, 'gold': 2}","Kiper Pils","{'sweet': 3, 'nose': 2, 'bit': 2}","{'sweet': 4, 'bit': 3, 'hop': 3}"
104,"{'feel': 2, 'overall': 1, 'bordering': 1}","{'golden': 2, 'two': 2, 'retention': 2}","Van Pur Premium","{'hop': 7, 'nose': 5, 'grassy': 4}","{'grainy': 2, 'malt': 2, 'floral': 2}"
105,"{'carbonation': 50, 'light': 43, 'feel': 32}","{'golden': 49, 'white': 43, 'clear': 42}","O.K. Beer","{'malt': 54, 'sweet': 44, 'hop': 44}","{'hop': 42, 'malt': 39, 'sweet': 37}"
106,"{'taste': 3, 'maybe': 2, 'could': 2}","{'malt': 2, 'light': 2, 'clear': 2}","Okocim Mocne Premium Malt Liquor","{'sweet': 4, 'seems': 2, 'flavor': 2}","{'sweet': 3, 'alcohol': 2, 'would': 1}"
107,"{'light': 20, 'feel': 15, 'crisp': 13}","{'golden': 25, 'white': 24, 'clear': 16}","Perla Chmielowa (Hop Pearl)","{'malt': 21, 'light': 20, 'hop': 18}","{'hop': 19, 'malt': 14, 'light': 10}"
108,"{'light': 6, 'medium': 5, 'good': 5}","{'white': 10, 'golden': 9, 'clear': 6}","Okocim (Zagloba) Premium Beer","{'hop': 12, 'malt': 11, 'nose': 10}","{'hop': 6, 'finish': 5, 'sweetness': 5}"
109,"{'light': 5, 'carbonation': 3, 'slight': 3}","{'white': 5, 'yellow': 4, 'look': 4}","Zamkowe Jasne","{'grainy': 4, 'malt': 3, 'grain': 3}","{'honey': 4, 'sweetness': 3, 'slight': 2}"
110,"{'carbonation': 4, 'bit': 3, 'light': 3}","{'dark': 7, 'look': 5, 'nice': 4}","Zamkowe Dark","{'sweet': 6, 'nose': 4, 'like': 4}","{'malt': 4, 'sweet': 2, 'dry': 2}"
111,"{'feel': 5, 'lively': 4, 'one': 3}","{'alcohol': 3, 'straw': 2, 'super': 2}","King Cobra","{'sweet': 5, 'citrus': 4, 'nose': 4}","{'sweet': 6, 'belgium': 4, 'alcohol': 3}"
112,"{'light': 4, 'feel': 4, 'alcohol': 3}","{'white': 7, 'golden': 5, 'yellow': 4}",Rycerskie,"{'malt': 12, 'nose': 6, 'hop': 6}","{'alcohol': 6, 'hop': 5, 'sweet': 5}"
113,"{'carbonation': 3, 'feel': 2, 'baltic': 2}","{'dark': 4, 'brown': 4, 'toffee': 4}","Czarny Boss Porter 18,1% Wag.","{'dark': 6, 'like': 5, 'raisin': 5}","{'dark': 5, 'chocolate': 5, 'like': 3}"
114,"{'offering': 2, 'ml': 1, 'tap': 1}","{'medium': 6, 'pours': 2, 'clear': 2}","Żywiec APA","{'medium': 5, 'light': 3, 'good': 2}","{'pale': 2, 'malty': 2, 'little': 2}"
115,"{'lager': 3, 'fuller': 2, 'euro': 2}","{'clear': 2, 'golden': 2, 'hint': 1}","Staropolskie Mocne","{'sweet': 3, 'grain': 2, 'alcohol': 2}","{'sweet': 7, 'malt': 4, 'tasting': 3}"
